Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
55%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.590501606
55%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.708684978
55%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.890321579
55%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.867640739
55%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.772048562
55%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.694118397
55%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.627939006
55%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.4881994
55%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581177746
55%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.64615469
55%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718003116
55%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.792013136
55%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85762695
55%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.895356225
55%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.860859415
55%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.773175605
55%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.694944535
55%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.627939008
55%,Limit Load,Extra,IPC,1.75.E+08,0,0.465857579
55%,Limit Load,Extra,IPC,1.58.E+08,2.207,0.506011459
55%,Limit Load,Extra,IPC,1.40.E+08,4.414,0.549673635
55%,Limit Load,Extra,IPC,1.23.E+08,6.621,0.59548171
55%,Limit Load,Extra,IPC,1.05.E+08,8.828,0.641279242
55%,Limit Load,Extra,IPC,8.75.E+07,11.035,0.684573182
55%,Limit Load,Extra,IPC,7.00.E+07,13.242,0.721586904
55%,Limit Load,Extra,IPC,5.25.E+07,15.449,0.747991414
55%,Limit Load,Extra,IPC,3.50.E+07,17.656,0.751374515
55%,Limit Load,Extra,IPC,1.75.E+07,19.863,0.693514593
55%,Limit Load,Extra,IPC,0.00.E+00,22.07,0.627939009
55%,Limit Load,Extra,IPO,1.75.E+08,0,0.465857587
55%,Limit Load,Extra,IPO,1.58.E+08,2.207,0.526648361
55%,Limit Load,Extra,IPO,1.40.E+08,4.414,0.600165622
55%,Limit Load,Extra,IPO,1.23.E+08,6.621,0.686915377
55%,Limit Load,Extra,IPO,1.05.E+08,8.828,0.784586067
55%,Limit Load,Extra,IPO,8.75.E+07,11.035,0.885031985
55%,Limit Load,Extra,IPO,7.00.E+07,13.242,0.965850197
55%,Limit Load,Extra,IPO,5.25.E+07,15.449,0.894978381
55%,Limit Load,Extra,IPO,3.50.E+07,17.656,0.785898119
55%,Limit Load,Extra,IPO,1.75.E+07,19.863,0.698545322
55%,Limit Load,Extra,IPO,0.00.E+00,22.07,0.627939015
55%,Limit Load,Extra,OP,1.75.E+08,0,0.526272575
55%,Limit Load,Extra,OP,1.58.E+08,2.207,0.582928884
55%,Limit Load,Extra,OP,1.40.E+08,4.414,0.647707023
55%,Limit Load,Extra,OP,1.23.E+08,6.621,0.719669183
55%,Limit Load,Extra,OP,1.05.E+08,8.828,0.794453409
55%,Limit Load,Extra,OP,8.75.E+07,11.035,0.862677399
55%,Limit Load,Extra,OP,7.00.E+07,13.242,0.908353282
55%,Limit Load,Extra,OP,5.25.E+07,15.449,0.875062029
55%,Limit Load,Extra,OP,3.50.E+07,17.656,0.781534379
55%,Limit Load,Extra,OP,1.75.E+07,19.863,0.697333627
55%,Limit Load,Extra,OP,0.00.E+00,22.07,0.627939011
